time_s,data,pn,carrier,spread,tx,recovered
6.5e-06,0.0,0.0,0.0,0.0,0.0,0.0
6.5625e-06,0.0,0.0,0.0,0.0,0.0,0.0
6.625e-06,0.0,0.0,0.0,0.0,0.0,0.0
6.6875e-06,0.0,0.0,0.0,0.0,0.0,0.0
6.75e-06,0.0,0.0,1.0,0.0,1.0,0.0
6.8125e-06,0.0,0.0,1.0,0.0,1.0,0.0
6.875e-06,0.0,0.0,1.0,0.0,1.0,0.0
6.9375e-06,0.0,0.0,1.0,0.0,1.0,0.0
7e-06,0.0,0.0,0.0,0.0,0.0,0.0
7.0625e-06,0.0,0.0,0.0,0.0,0.0,0.0
7.125e-06,0.0,0.0,0.0,0.0,0.0,0.0
7.1875e-06,0.0,0.0,0.0,0.0,0.0,0.0
7.25e-06,0.0,0.0,1.0,0.0,1.0,0.0
7.3125e-06,0.0,0.0,1.0,0.0,1.0,0.0
7.375e-06,0.0,0.0,1.0,0.0,1.0,0.0
7.4375e-06,0.0,0.0,1.0,0.0,1.0,0.0
7.5e-06,0.0,0.0,0.0,0.0,0.0,0.0
7.5625e-06,0.0,0.0,0.0,0.0,0.0,0.0
7.625e-06,0.0,0.0,0.0,0.0,0.0,0.0
7.6875e-06,0.0,0.0,0.0,0.0,0.0,0.0
7.75e-06,0.0,0.0,1.0,0.0,1.0,0.0
7.8125e-06,0.0,0.0,1.0,0.0,1.0,0.0
7.875e-06,0.0,0.0,1.0,0.0,1.0,0.0
7.9375e-06,0.0,0.0,1.0,0.0,1.0,0.0
8e-06,0.0,1.0,0.0,1.0,1.0,0.0
8.0625e-06,0.0,1.0,0.0,1.0,1.0,0.0
8.125e-06,0.0,1.0,0.0,1.0,1.0,0.0
8.1875e-06,0.0,1.0,0.0,1.0,1.0,0.0
8.25e-06,0.0,1.0,1.0,1.0,0.0,0.0
8.3125e-06,0.0,1.0,1.0,1.0,0.0,0.0
8.375e-06,0.0,1.0,1.0,1.0,0.0,0.0
8.4375e-06,0.0,1.0,1.0,1.0,0.0,0.0
8.5e-06,0.0,0.0,0.0,0.0,0.0,0.0
8.5625e-06,0.0,0.0,0.0,0.0,0.0,0.0
8.625e-06,0.0,0.0,0.0,0.0,0.0,0.0
8.6875e-06,0.0,0.0,0.0,0.0,0.0,0.0
8.75e-06,0.0,0.0,1.0,0.0,1.0,0.0
8.8125e-06,0.0,0.0,1.0,0.0,1.0,0.0
8.875e-06,0.0,0.0,1.0,0.0,1.0,0.0
8.9375e-06,0.0,0.0,1.0,0.0,1.0,0.0
9e-06,0.0,0.0,0.0,0.0,0.0,0.0
9.0625e-06,0.0,0.0,0.0,0.0,0.0,0.0
9.125e-06,0.0,0.0,0.0,0.0,0.0,0.0
9.1875e-06,0.0,0.0,0.0,0.0,0.0,0.0
9.25e-06,0.0,0.0,1.0,0.0,1.0,0.0
9.3125e-06,0.0,0.0,1.0,0.0,1.0,0.0
9.375e-06,0.0,0.0,1.0,0.0,1.0,0.0
9.4375e-06,0.0,0.0,1.0,0.0,1.0,0.0
9.5e-06,0.0,0.0,0.0,0.0,0.0,0.0
9.5625e-06,0.0,0.0,0.0,0.0,0.0,0.0
9.625e-06,0.0,0.0,0.0,0.0,0.0,0.0
9.6875e-06,0.0,0.0,0.0,0.0,0.0,0.0
9.75e-06,0.0,0.0,1.0,0.0,1.0,0.0
9.8125e-06,0.0,0.0,1.0,0.0,1.0,0.0
9.875e-06,0.0,0.0,1.0,0.0,1.0,0.0
9.9375e-06,0.0,0.0,1.0,0.0,1.0,0.0
1e-05,0.0,1.0,0.0,1.0,1.0,0.0
